AoA,        Cd,         Reynolds   
      18.50,     0.1181,   160000.0
      19.00,     0.1257,   160000.0
      19.50,     0.1336,   160000.0
      20.00,     0.1411,   160000.0
      20.50,     0.1488,   160000.0
      21.00,     0.1564,   160000.0
      21.50,     0.1640,   160000.0
      22.00,     0.1720,   160000.0
      22.50,     0.1799,   160000.0
      23.00,     0.1885,   160000.0
      23.50,     0.1978,   160000.0
      24.00,     0.2064,   160000.0
      24.50,     0.2242,   160000.0
      25.00,     0.2351,   160000.0
      26.00,     0.2933,   160000.0
      27.00,     0.3195,   160000.0
      28.00,     0.3463,   160000.0
      29.00,     0.3736,   160000.0
      30.00,     0.4014,   160000.0
      60.00,     1.3037,   160000.0
      90.00,     1.7526,   160000.0
     120.00,     1.3112,   160000.0
     150.00,     0.4358,   160000.0
     180.00,     0.0060,   160000.0
    -180.00,     0.0060,   180000.0
    -150.00,     0.4213,   180000.0
    -120.00,     1.2358,   180000.0
     -90.00,     1.6376,   180000.0
     -60.00,     1.2343,   180000.0
     -30.00,     0.4152,   180000.0
     -10.00,     0.0265,   180000.0
      -9.50,     0.0246,   180000.0
      -9.00,     0.0230,   180000.0
      -8.50,     0.0217,   180000.0
      -8.00,     0.0205,   180000.0
      -7.50,     0.0194,   180000.0
      -7.00,     0.0184,   180000.0
      -6.50,     0.0175,   180000.0
      -6.00,     0.0168,   180000.0
      -5.50,     0.0161,   180000.0
      -5.00,     0.0155,   180000.0
      -4.50,     0.0150,   180000.0
      -4.00,     0.0145,   180000.0
      -3.50,     0.0142,   180000.0
      -3.00,     0.0139,   180000.0
      -2.50,     0.0136,   180000.0
      -2.00,     0.0134,   180000.0
      -1.50,     0.0132,   180000.0
      -1.00,     0.0131,   180000.0
      -0.50,     0.0129,   180000.0
       0.00,     0.0127,   180000.0
       0.50,     0.0124,   180000.0
       1.00,     0.0122,   180000.0
       1.50,     0.0122,   180000.0
       2.00,     0.0125,   180000.0
       2.50,     0.0128,   180000.0
       3.00,     0.0131,   180000.0
       3.50,     0.0135,   180000.0
       4.00,     0.0139,   180000.0
       4.50,     0.0143,   180000.0
       5.00,     0.0148,   180000.0
       5.50,     0.0152,   180000.0
       6.00,     0.0157,   180000.0
       6.50,     0.0163,   180000.0
       7.00,     0.0168,   180000.0
       7.50,     0.0174,   180000.0
       8.00,     0.0181,   180000.0
       8.50,     0.0190,   180000.0
       9.00,     0.0200,   180000.0
       9.50,     0.0213,   180000.0
      10.00,     0.0229,   180000.0
      10.50,     0.0249,   180000.0
      11.00,     0.0273,   180000.0
      11.50,     0.0302,   180000.0
      12.00,     0.0336,   180000.0
      12.50,     0.0375,   180000.0
      13.00,     0.0418,   180000.0
      13.50,     0.0468,   180000.0
      14.00,     0.0521,   180000.0
      14.50,     0.0579,   180000.0
      15.00,     0.0642,   180000.0
      15.50,     0.0708,   180000.0
      16.00,     0.0778,   180000.0
      16.50,     0.0852,   180000.0
      17.00,     0.0925,   180000.0
      17.50,     0.1001,   180000.0
      18.00,     0.1080,   180000.0
      18.50,     0.1156,   180000.0
      19.00,     0.1236,   180000.0
      19.50,     0.1311,   180000.0
      20.00,     0.1390,   180000.0
      20.50,     0.1465,   180000.0
