AoA,        Cl,         Reynolds   
    -150.00,     0.4861,   180000.0
    -120.00,     0.3124,   180000.0
     -90.00,    -0.0515,   180000.0
     -60.00,    -0.3645,   180000.0
     -30.00,    -0.4614,   180000.0
     -10.00,    -0.6290,   180000.0
      -9.50,    -0.5781,   180000.0
      -9.00,    -0.5235,   180000.0
      -8.50,    -0.4711,   180000.0
      -8.00,    -0.4188,   180000.0
      -7.50,    -0.3651,   180000.0
      -7.00,    -0.3105,   180000.0
      -6.50,    -0.2568,   180000.0
      -6.00,    -0.2029,   180000.0
      -5.50,    -0.1485,   180000.0
      -5.00,    -0.0935,   180000.0
      -4.50,    -0.0383,   180000.0
      -4.00,     0.0159,   180000.0
      -3.50,     0.0705,   180000.0
      -3.00,     0.1249,   180000.0
      -2.50,     0.1790,   180000.0
      -2.00,     0.2327,   180000.0
      -1.50,     0.2862,   180000.0
      -1.00,     0.3393,   180000.0
      -0.50,     0.3919,   180000.0
       0.00,     0.4431,   180000.0
       0.50,     0.4919,   180000.0
       1.00,     0.5391,   180000.0
       1.50,     0.5995,   180000.0
       2.00,     0.6778,   180000.0
       2.50,     0.7292,   180000.0
       3.00,     0.7775,   180000.0
       3.50,     0.8263,   180000.0
       4.00,     0.8753,   180000.0
       4.50,     0.9241,   180000.0
       5.00,     0.9726,   180000.0
       5.50,     1.0204,   180000.0
       6.00,     1.0672,   180000.0
       6.50,     1.1127,   180000.0
       7.00,     1.1563,   180000.0
       7.50,     1.1971,   180000.0
       8.00,     1.2340,   180000.0
       8.50,     1.2646,   180000.0
       9.00,     1.2932,   180000.0
       9.50,     1.3189,   180000.0
      10.00,     1.3415,   180000.0
      10.50,     1.3601,   180000.0
      11.00,     1.3745,   180000.0
      11.50,     1.3852,   180000.0
      12.00,     1.3931,   180000.0
      12.50,     1.3987,   180000.0
      13.00,     1.4022,   180000.0
      13.50,     1.4027,   180000.0
      14.00,     1.4029,   180000.0
      14.50,     1.4015,   180000.0
      15.00,     1.3984,   180000.0
      15.50,     1.3941,   180000.0
      16.00,     1.3882,   180000.0
      16.50,     1.3816,   180000.0
      17.00,     1.3762,   180000.0
      17.50,     1.3695,   180000.0
      18.00,     1.3622,   180000.0
      18.50,     1.3578,   180000.0
      19.00,     1.3512,   180000.0
      19.50,     1.3485,   180000.0
      20.00,     1.3443,   180000.0
      20.50,     1.3428,   180000.0
      21.00,     1.3400,   180000.0
      21.50,     1.3393,   180000.0
      22.00,     1.3377,   180000.0
      22.50,     1.3363,   180000.0
      23.00,     1.3343,   180000.0
      23.50,     1.3323,   180000.0
      24.00,     1.3250,   180000.0
      24.50,     1.3223,   180000.0
      25.00,     1.2990,   180000.0
      26.00,     1.2683,   180000.0
      27.00,     1.2663,   180000.0
      28.00,     1.2661,   180000.0
      29.00,     1.2675,   180000.0
      30.00,     1.2702,   180000.0
      60.00,     1.2533,   180000.0
      90.00,     0.2456,   180000.0
     120.00,    -0.9969,   180000.0
     150.00,    -1.0794,   180000.0
     180.00,    -0.1219,   180000.0
    -180.00,    -0.1235,   330000.0
    -150.00,     0.4817,   330000.0
    -120.00,     0.3056,   330000.0
     -90.00,    -0.0499,   330000.0
     -60.00,    -0.3563,   330000.0
     -30.00,    -0.4573,   330000.0
     -10.00,    -0.6130,   330000.0
      -9.50,    -0.5623,   330000.0
      -9.00,    -0.5115,   330000.0
      -8.50,    -0.4596,   330000.0
      -8.00,    -0.4080,   330000.0
      -7.50,    -0.3554,   330000.0
      -7.00,    -0.3021,   330000.0
      -6.00,    -0.1947,   330000.0
      -5.50,    -0.1406,   330000.0
      -5.00,    -0.0865,   330000.0
      -4.50,    -0.0323,   330000.0
      -4.00,     0.0218,   330000.0
      -3.50,     0.0759,   330000.0
      -3.00,     0.1298,   330000.0
      -2.50,     0.1837,   330000.0
      -2.00,     0.2375,   330000.0
      -1.50,     0.2912,   330000.0
      -1.00,     0.3447,   330000.0
      -0.50,     0.3984,   330000.0
       0.00,     0.4518,   330000.0
       0.50,     0.5047,   330000.0
       1.00,     0.5559,   330000.0
       1.50,     0.6061,   330000.0
       2.00,     0.6533,   330000.0
       2.50,     0.7136,   330000.0
       3.00,     0.7855,   330000.0
       3.50,     0.8344,   330000.0
       4.00,     0.8835,   330000.0
       4.50,     0.9330,   330000.0
       5.00,     0.9823,   330000.0
       5.50,     1.0308,   330000.0
       6.00,     1.0782,   330000.0
       6.50,     1.1239,   330000.0
       7.00,     1.1675,   330000.0
       7.50,     1.2061,   330000.0
       8.00,     1.2409,   330000.0
       8.50,     1.2739,   330000.0
       9.00,     1.3040,   330000.0
       9.50,     1.3313,   330000.0
      10.00,     1.3557,   330000.0
      10.50,     1.3764,   330000.0
      11.00,     1.3948,   330000.0
      11.50,     1.4108,   330000.0
      12.00,     1.4247,   330000.0
      12.50,     1.4371,   330000.0
      13.00,     1.4465,   330000.0
      13.50,     1.4540,   330000.0
      14.00,     1.4601,   330000.0
      14.50,     1.4637,   330000.0
      15.00,     1.4648,   330000.0
      15.50,     1.4652,   330000.0
      16.00,     1.4635,   330000.0
      16.50,     1.4593,   330000.0
      17.00,     1.4544,   330000.0
      17.50,     1.4488,   330000.0
      18.00,     1.4413,   330000.0
      18.50,     1.4352,   330000.0
      19.00,     1.4277,   330000.0
      19.50,     1.4217,   330000.0
      20.00,     1.4160,   330000.0
      20.50,     1.4098,   330000.0
      21.00,     1.4065,   330000.0
      21.50,     1.4014,   330000.0
      22.00,     1.3985,   330000.0
      22.50,     1.3960,   330000.0
      23.00,     1.3920,   330000.0
      23.50,     1.3908,   330000.0
      24.00,     1.3887,   330000.0
      24.50,     1.3859,   330000.0
      25.00,     1.3843,   330000.0
      26.00,     1.3551,   330000.0
      27.00,     1.3500,   330000.0
      28.00,     1.3466,   330000.0
      29.00,     1.3447,   330000.0
      30.00,     1.3442,   330000.0
      60.00,     1.2779,   330000.0
      90.00,     0.2540,   330000.0
     120.00,    -1.0030,   330000.0
     150.00,    -1.0851,   330000.0
     180.00,    -0.1235,   330000.0
